Epoch,Time(s),Loss,F1
00227,0.6486,0.3192,0.2280
00228,0.6491,0.3192,0.2232
00229,0.6496,0.3190,0.2158
00230,0.6503,0.3187,0.2112
00231,0.6508,0.3186,0.2086
00232,0.6517,0.3185,0.2072
00233,0.6513,0.3181,0.2128
00234,0.6509,0.3179,0.2213
00235,0.6508,0.3178,0.2185
00236,0.6505,0.3176,0.2100
00237,0.6505,0.3173,0.2054
00238,0.6502,0.3172,0.2054
00239,0.6500,0.3170,0.2079
00240,0.6497,0.3168,0.2103
00241,0.6494,0.3166,0.2134
00242,0.6493,0.3165,0.2125
00243,0.6490,0.3163,0.2108
00244,0.6495,0.3161,0.2110
00245,0.6502,0.3159,0.2149
00246,0.6508,0.3158,0.2150
00247,0.6512,0.3156,0.2164
00248,0.6517,0.3154,0.2229
00249,0.6515,0.3153,0.2203
00250,0.6514,0.3151,0.2186
00251,0.6510,0.3150,0.2247
00252,0.6505,0.3148,0.2246
00253,0.6501,0.3147,0.2252
00254,0.6498,0.3145,0.2274
00255,0.6494,0.3144,0.2221
00256,0.6492,0.3143,0.2294
00257,0.6487,0.3141,0.2284
00258,0.6482,0.3140,0.2246
00259,0.6479,0.3139,0.2319
00260,0.6486,0.3137,0.2254
00261,0.6491,0.3136,0.2338
00262,0.6494,0.3135,0.2260
00263,0.6498,0.3134,0.2378
00264,0.6503,0.3133,0.2225
00265,0.6500,0.3132,0.2459
00266,0.6496,0.3133,0.2198
00267,0.6492,0.3132,0.2409
00268,0.6490,0.3129,0.2339
00269,0.6488,0.3126,0.2287
00270,0.6485,0.3125,0.2432
00271,0.6481,0.3126,0.2265
00272,0.6478,0.3126,0.2447
00273,0.6473,0.3125,0.2278
00274,0.6469,0.3122,0.2447
00275,0.6466,0.3121,0.2374
00276,0.6464,0.3119,0.2270
00277,0.6470,0.3119,0.2516
00278,0.6478,0.3118,0.2247
00279,0.6485,0.3118,0.2584
00280,0.6493,0.3124,0.2072
00281,0.6496,0.3128,0.2650
00282,0.6495,0.3119,0.2341
00283,0.6493,0.3112,0.2176
00284,0.6488,0.3115,0.2563
00285,0.6486,0.3114,0.2307
00286,0.6483,0.3115,0.2414
00287,0.6479,0.3108,0.2375
00288,0.6477,0.3107,0.2276
00289,0.6472,0.3108,0.2565
00290,0.6469,0.3112,0.2158
00291,0.6464,0.3120,0.2662
00292,0.6462,0.3109,0.2352
00293,0.6467,0.3104,0.2383
00294,0.6470,0.3103,0.2439
00295,0.6475,0.3097,0.2522
00296,0.6480,0.3100,0.2468
00297,0.6485,0.3097,0.2379
00298,0.6480,0.3094,0.2564
00299,0.6475,0.3096,0.2398
00300,0.6471,0.3093,0.2528
00301,0.6466,0.3091,0.2461
00302,0.6462,0.3091,0.2541
00303,0.6460,0.3092,0.2185
00304,0.6459,0.3103,0.2987
00305,0.6456,0.3138,0.1587
00306,0.6451,0.3214,0.2596
00307,0.6446,0.3094,0.2915
00308,0.6442,0.3195,0.1378
00309,0.6438,0.3276,0.1755
00310,0.6437,0.3203,0.2861
00311,0.6441,0.3192,0.2386
00312,0.6444,0.3156,0.1624
00313,0.6446,0.3155,0.1814
00314,0.6449,0.3178,0.2215
00315,0.6451,0.3131,0.2366
00316,0.6448,0.3170,0.2230
00317,0.6447,0.3125,0.2163
00318,0.6445,0.3133,0.2084
00319,0.6440,0.3136,0.2281
00320,0.6435,0.3121,0.2794
00321,0.6433,0.3131,0.2471
00322,0.6430,0.3104,0.2147
00323,0.6426,0.3117,0.2780
00324,0.6422,0.3115,0.2432
00325,0.6418,0.3131,0.2793
00326,0.6414,0.3101,0.2485
00327,0.6410,0.3097,0.2319
00328,0.6412,0.3102,0.2870
00329,0.6413,0.3104,0.2561
00330,0.6415,0.3090,0.2326
00331,0.6419,0.3094,0.2669
00332,0.6424,0.3090,0.2531
00333,0.6423,0.3085,0.2446
00334,0.6419,0.3084,0.2565
00335,0.6415,0.3088,0.2486
00336,0.6411,0.3078,0.2561
00337,0.6409,0.3079,0.2670
00338,0.6408,0.3077,0.2400
00339,0.6407,0.3075,0.2583
00340,0.6403,0.3072,0.2686
00341,0.6400,0.3071,0.2425
00342,0.6399,0.3070,0.2668
00343,0.6397,0.3067,0.2632
00344,0.6395,0.3067,0.2521
00345,0.6400,0.3064,0.2597
00346,0.6403,0.3063,0.2574
00347,0.6407,0.3062,0.2620
00348,0.6413,0.3060,0.2556
00349,0.6415,0.3058,0.2605
00350,0.6411,0.3057,0.2604
00351,0.6406,0.3055,0.2539
00352,0.6405,0.3054,0.2658
00353,0.6402,0.3052,0.2567
00354,0.6400,0.3050,0.2567
00355,0.6399,0.3048,0.2688
00356,0.6395,0.3047,0.2547
00357,0.6392,0.3046,0.2729
00358,0.6390,0.3045,0.2584
00359,0.6388,0.3043,0.2697
00360,0.6383,0.3042,0.2657
00361,0.6380,0.3041,0.2671
00362,0.6381,0.3042,0.2675
00363,0.6388,0.3045,0.2713
00364,0.6394,0.3048,0.2593
00365,0.6398,0.3054,0.2817
00366,0.6403,0.3058,0.2548
00367,0.6399,0.3062,0.2846
00368,0.6396,0.3047,0.2546
00369,0.6392,0.3033,0.2704
00370,0.6390,0.3034,0.2592
00371,0.6388,0.3048,0.2768
00372,0.6385,0.3056,0.2326
00373,0.6382,0.3056,0.2931
00374,0.6381,0.3037,0.2548
00375,0.6377,0.3049,0.2750
00376,0.6375,0.3048,0.2812
00377,0.6372,0.3034,0.2387
00378,0.6370,0.3040,0.3228
00379,0.6376,0.3056,0.2225
00380,0.6378,0.3068,0.3047
00381,0.6379,0.3043,0.2513
00382,0.6380,0.3028,0.2619
00383,0.6385,0.3034,0.2883
00384,0.6383,0.3029,0.2526
00385,0.6382,0.3023,0.2742
00386,0.6380,0.3029,0.2507
00387,0.6379,0.3040,0.2881
00388,0.6378,0.3029,0.2442
00389,0.6381,0.3030,0.3025
00390,0.6386,0.3025,0.2554
00391,0.6390,0.3019,0.2743
00392,0.6396,0.3012,0.2890
00393,0.6406,0.3013,0.2486
00394,0.6411,0.3021,0.3127
00395,0.6417,0.3023,0.2400
00396,0.6422,0.3029,0.2993
00397,0.6429,0.3031,0.2371
